specimenAgingtime;specimenAgingT;specimenCreepStress;specimenMaterialStateName;specimen_ID;tEMProcess;transmissionElectronMicroscope;manufacturerSeries;tEMManufacturer;calibrationFactor;dFImage_ID;precipitateGeometryMeasurement;particleNumber;particleArea;weightedXPositionCentralPoint;weightedYPositionCentralPoint;perimeter;elipseFitMajorAxis;elipseFitMinorAxis;particleRadius_nm;labDFImage_ID;softwareAgent;;;
0;0;0;T61;T61_1;tEMProcess_69;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_69;T61_1_1_69;136;1040.89;913.331;41.698;14.022;12.349;0.9869286964;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_70;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_70;T61_1_1_70;197;115.18;916.835;51.113;16.045;15.632;1.1878167243;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_71;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_71;T61_1_1_71;643;676.304;923.516;95.74;34.076;24.025;2.1459609219;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_72;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_72;T61_1_1_72;2889;1153.6;950.596;219.137;65.701;55.987;4.5487293145;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_73;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_73;T61_1_1_73;355;1051.945;948.021;71.598;26.433;17.1;1.5945219396;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_74;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_74;T61_1_1_74;1963;1448.823;976.421;216.108;78.4;31.88;3.7495268899;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_75;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_75;T61_1_1_75;151;1558.46;951.427;47.598;16.942;11.348;1.0399316508;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_76;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_76;T61_1_1_76;279;125.977;965.959;62.184;20.617;17.23;1.4135735957;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_77;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_77;T61_1_1_77;1904;581.879;998.369;168.024;58.792;41.234;3.6927490470;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_78;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_78;T61_1_1_78;207;1009.935;1000.543;54.284;18.333;14.376;1.2175911855;L_T61_1_1;ImageJ;;;
